period,label,spatial_coverage,gazetteer_links,start,stop,authority,source,publication_year,derived_periods,broader_periods,narrower_periods
http://n2t.net/ark:/99152/p08m57hkt4j,Early Archaic,Canada | United States,http://www.wikidata.org/entity/Q16 http://www.wikidata.org/entity/Q30,-7999,-5999,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57hh78v,Middle Archaic,Canada | United States,http://www.wikidata.org/entity/Q16 http://www.wikidata.org/entity/Q30,-5999,-3999,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57hph3k,Punic,"Carthage and its settlements established in Sardinia, Spain and Western Sicily, and also to those settlements of North Africa around Carthage | Spain | Sardinia | Tunisia | Sicily",http://www.wikidata.org/entity/Q29 http://www.wikidata.org/entity/Q1462 http://www.wikidata.org/entity/Q948 http://www.wikidata.org/entity/Q1460,-0899,-0145,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57hnqc9,Kushan,Central Asia from Afghanistan to south of Delhi | Pakistan | Afghanistan | India,http://www.wikidata.org/entity/Q843 http://www.wikidata.org/entity/Q889 http://www.wikidata.org/entity/Q668,0001,0400,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57hq9gh,BMAC,Central Asia | Turkmenistan | Uzbekistan | Afghanistan | Iran | Tajikistan,http://www.wikidata.org/entity/Q874 http://www.wikidata.org/entity/Q265 http://www.wikidata.org/entity/Q889 http://www.wikidata.org/entity/Q794 http://www.wikidata.org/entity/Q863,-2199,-1699,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57hcdc6,Rimac,Central Coast | Peru,http://www.wikidata.org/entity/Q419,0900,1430,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57htv78,Calima,Colombia,http://www.wikidata.org/entity/Q739,-1499,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57ht8jh,San Agustin,Colombia,http://www.wikidata.org/entity/Q739,-0999,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57ht484,Tumaco,Colombia,http://www.wikidata.org/entity/Q739,-0699,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57h39zn,Tumaco-La Tolita,Colombia,http://www.wikidata.org/entity/Q739,-0699,0400,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57h68nd,Early Quimbaya,Colombia,http://www.wikidata.org/entity/Q739,-0499,0600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,http://n2t.net/ark:/99152/p08m57hgjcv,
http://n2t.net/ark:/99152/p08m57hgjcv,Quimbaya,Colombia,http://www.wikidata.org/entity/Q739,-0499,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,http://n2t.net/ark:/99152/p08m57h68nd
http://n2t.net/ark:/99152/p08m57hjwcw,Yotoco,Colombia,http://www.wikidata.org/entity/Q739,-0199,1200,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57hvsnh,Zenu,Colombia,http://www.wikidata.org/entity/Q739,-0149,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57hspbm,Early Tolima,Colombia,http://www.wikidata.org/entity/Q739,0001,0900,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57hrsqf,San Agustin Regional Classic,Colombia,http://www.wikidata.org/entity/Q739,0001,0900,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57hrqjf,Tairona,Colombia,http://www.wikidata.org/entity/Q739,0200,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
http://n2t.net/ark:/99152/p08m57hzq74,Muisca,Colombia,http://www.wikidata.org/entity/Q739,0600,1600,http://n2t.net/ark:/99152/p08m57h,British Museum,,,,
